INFO  | 2021-06-29 11:42:53 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 11:42:53 - отправлен результат
INFO  | 2021-06-29 11:43:24 - старт сервера
INFO  | 2021-06-29 11:43:24 - добавлены команды
INFO  | 2021-06-29 11:43:24 - создан сервер
INFO  | 2021-06-29 11:43:28 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 11:43:28 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 11:43:28 - отправлен результат
INFO  | 2021-06-29 11:46:28 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 11:46:28 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 11:46:28 - отправлен результат
INFO  | 2021-06-29 11:46:48 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 11:46:48 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 11:46:48 - отправлен результат
INFO  | 2021-06-29 11:48:10 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 11:48:10 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 11:48:10 - отправлен результат
INFO  | 2021-06-29 11:48:50 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 11:48:50 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 11:48:50 - отправлен результат
INFO  | 2021-06-29 11:50:21 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 11:50:21 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 11:50:21 - отправлен результат
INFO  | 2021-06-29 11:50:55 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 11:50:55 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 11:50:55 - отправлен результат
INFO  | 2021-06-29 11:51:04 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 11:51:04 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 11:51:04 - отправлен результат
INFO  | 2021-06-29 11:51:19 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 11:51:19 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 11:51:19 - отправлен результат
INFO  | 2021-06-29 11:51:26 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 11:51:26 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 11:51:26 - отправлен результат
INFO  | 2021-06-29 11:52:09 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 11:52:09 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 11:52:09 - отправлен результат
INFO  | 2021-06-29 11:58:41 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 11:58:41 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 11:58:41 - отправлен результат
INFO  | 2021-06-29 11:59:35 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 11:59:35 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 11:59:35 - отправлен результат
INFO  | 2021-06-29 12:00:15 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:00:15 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:00:15 - отправлен результат
INFO  | 2021-06-29 12:00:42 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:00:42 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:00:42 - отправлен результат
INFO  | 2021-06-29 12:01:16 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:01:16 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:01:16 - отправлен результат
INFO  | 2021-06-29 12:01:36 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:01:36 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:01:36 - отправлен результат
INFO  | 2021-06-29 12:04:00 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:04:00 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:04:00 - отправлен результат
INFO  | 2021-06-29 12:04:54 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:04:54 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:04:54 - отправлен результат
INFO  | 2021-06-29 12:07:19 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:07:19 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:07:19 - отправлен результат
INFO  | 2021-06-29 12:07:42 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:07:42 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:07:42 - отправлен результат
INFO  | 2021-06-29 12:08:13 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:08:13 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:08:13 - отправлен результат
INFO  | 2021-06-29 12:11:17 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:11:17 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:11:17 - отправлен результат
INFO  | 2021-06-29 12:11:33 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:11:33 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:11:33 - отправлен результат
INFO  | 2021-06-29 12:11:45 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:11:45 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:11:45 - отправлен результат
INFO  | 2021-06-29 12:12:37 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:12:37 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:12:37 - отправлен результат
INFO  | 2021-06-29 12:13:31 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:13:31 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:13:31 - отправлен результат
INFO  | 2021-06-29 12:17:58 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:17:58 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:17:58 - отправлен результат
INFO  | 2021-06-29 12:18:08 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:18:08 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:18:08 - отправлен результат
INFO  | 2021-06-29 12:19:03 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:19:03 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:19:03 - отправлен результат
INFO  | 2021-06-29 12:20:06 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:20:06 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:20:06 - отправлен результат
INFO  | 2021-06-29 12:22:35 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:22:35 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:22:35 - отправлен результат
INFO  | 2021-06-29 12:22:56 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:22:56 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:22:56 - отправлен результат
INFO  | 2021-06-29 12:23:13 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:23:13 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:23:13 - отправлен результат
INFO  | 2021-06-29 12:24:12 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:24:12 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:24:12 - отправлен результат
INFO  | 2021-06-29 12:24:27 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:24:27 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:24:27 - отправлен результат
INFO  | 2021-06-29 12:24:38 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:24:38 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:24:38 - отправлен результат
INFO  | 2021-06-29 12:25:42 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:25:42 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:25:42 - отправлен результат
INFO  | 2021-06-29 12:26:13 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:26:13 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:26:13 - отправлен результат
INFO  | 2021-06-29 12:26:23 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:26:23 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:26:23 - отправлен результат
INFO  | 2021-06-29 12:31:49 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:31:49 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:31:49 - отправлен результат
INFO  | 2021-06-29 12:34:57 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:34:57 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:34:57 - отправлен результат
INFO  | 2021-06-29 12:35:47 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:35:47 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:35:47 - отправлен результат
